nom,adresse,arrondissement,arrondissement2,telephone,prix,cuisine1,cuisine2,cuisine3,cuisine4,cuisine5,cuisine6,cuisine7,doublon?,doublon
Café 5 Juillet,"3864, rue Jean-Talon E",Villeray-Saint-Michel,,(438) 238-8691,1,Café,,,,,,,,
Poutine en Folie,"7075, rue Jarry E.",Anjou-St-Léonard,Montréal-Est,(438) 288-3733,1,Poutine,Sandwichs,Réconfort,Pâtes,Salades,Burgers,,,
Poutine en Folie,"2563, rue Ontario",Le Village/Centre Sud,,(438) 288-3755,1,Poutine,Sandwichs,Réconfort,Pâtes,Salades,Burgers,,,
Poutine en Folie,"1270, rue Jarry E.",Villeray-Saint-Michel,Rosemont-Petite-Patrie,(438) 288-4288,1,Poutine,Sandwichs,Réconfort,Pâtes,Salades,Burgers,,,
NosThés,"1215, rue Ste-Catherine E",Le Village/Centre Sud,,(438) 289-0418,1,Maison de thé,Café,Asiatique,Bistro,,,,,
Le Chien Rose,"234, rue Fleury O.",Ahuntsic-Cartierville,,(438) 289-1793,2,Du Terroir,Marché,Française,Tartare,,,,,
Café Chat L'Heureux,"172, ave. Duluth E.",Le Plateau-Mont-Royal,Avenue Duluth,(438) 333-1505,1,Café,,,,,,,,
Opiano,"1115, rue Sherbrooke O",Centre-ville,,(438) 333-3335,1,Sushi,Coréenne,Sandwichs,,,,,,
L'autarcie,"2440, ave. du Mont-Royal E",Le Plateau-Mont-Royal,,(438) 333-3394,1,Du Terroir,Canadienne,,,,,,,
La Maison des Pâtes Fraîches,"1887, ave. Mont-Royal E",Le Plateau-Mont-Royal,,(438) 333-7999,1,Italienne,Pâtes,,,,,,,
Comme Chez Soi,"277, ave. Laurier O.",Mile-End,Le Plateau-Mont-Royal,(438) 345-7915,1.5,Internationale,Desserts et Sucreries,,,,,,,
Le Comme Chez Soi,"277, ave. Laurier O",Mile-End,Le Plateau-Mont-Royal,(438) 345-7915,1,Française,Bistro,Déjeuner,Burgers,Tartare,,,,
Wok D'Or Express,"1550, boul. de la Côte-Vertu",Ville Saint-Laurent,,(438) 380-1362,1,Thaïlandaise,Vietnamienne,Asiatique,,,,,,
Chez Sophie,"1974, rue Notre-Dame O",Griffintown,Le Sud Ouest,(438) 380-2365,3.5,Contemporaine/Moderne,Méditerranéenne,Française,Italienne,Végétarienne,Végétalienne,Tartare,,
Su Shian Yuang,"420, rue Rachel E",Le Plateau-Mont-Royal,,(438) 380-2829,1.5,Végétarienne,Chinoise,Asiatique,Végétalienne,,,,,
Broue Pub Brouhaha,"10295, ave. Papineau",Ahuntsic-Cartierville,,(438) 380-5563,1,Pub Food,Réconfort,Poutine,Fumoir-Smokehouse,Barbecue-BBQ,,,,
Harbin Dumplings,"4801, boul. St Laurent",Mile-End,Le Plateau-Mont-Royal,(438) 380-5607,1.5,Asiatique,,,,,,,,
Mamie Clafoutis,"3660, rue St-Denis",Le Plateau-Mont-Royal,Rue St-Denis,(438) 380-5624,1,Café,Maison de thé,Pâtisserie,Sandwichs,Salades,,,,
Casa Figueroa,"3217, rue Beaubien E",Rosemont-Petite-Patrie,,(438) 380-6275,2,Mexicaine,Latino Américaine,,,,,,,
Café Carpé Diem,"804, boul. Rosemont",Rosemont-Petite-Patrie,,(438) 380-7804,1,Café,Déjeuner,Sandwichs,Salades,,,,,
M4 Burritos,"1773, rue St-Denis",Quartier Latin,Rue St-Denis,(438) 380-8090,1,Mexicaine,,,,,,,,
Huong Xua,"7061, rue Jarry E",Anjou-St-Léonard,Montréal-Est,(438) 380-8808,1,Vietnamienne,Thaïlandaise,Asiatique,Grillades,Végétarienne,,,,
Kazumi,"6394, rue Sherbrooke E",Hochelaga-Maisonneuve,Montréal-Est,(438) 380-9898,2.5,Japonaise,Sushi,,,,,,,
Chez Tony,"5050, chemin de la Cote des Neiges",Côte-des-Neiges,,(438) 380-9903,1,Créole,Caraïbéenne,,,,,,,
Ma Tante Quiche,"2194, rue Du Centre",Pointe St-Charles,Le Sud Ouest,(438) 381-3838,1,Du Terroir,Desserts et Sucreries,Sandwichs,Déjeuner,Grilled Cheese,Café,Fish & Chips,,
Trip de Bouffe,"277, rue Mont-Royal E",Le Plateau-Mont-Royal,,(438) 381-4388,1,Libanaise,Café,Déjeuner,,,,,,
La Tamalera,"226, ave. Fairmount O",Mile-End,Le Plateau-Mont-Royal,(438) 381-5034,1,Mexicaine,Sandwichs,,,,,,,
Bistro T,"3461, ave. du Parc",Centre-ville,Le Plateau-Mont-Royal,(438) 381-5757,2,Bistro,Déjeuner,Turque,,,,,,
Ô Plaisiers Gourmand,"1490, rue Sherbrooke O",Centre-ville,,(438) 381-6111,1,Desserts et Sucreries,Sandwichs,Salades,,,,,,
Fusion Express,"3974, ave. Pierre-de-Coubertin",Hochelaga-Maisonneuve,,(438) 381-6628,1,Asiatique,Sushi,Vietnamienne,,,,,,
Cornichon,"1291, ave. du Mont-Royal E",Le Plateau-Mont-Royal,,(438) 381-8167,2,Bistro,,,,,,,,
Taverne Saint-Sacrement,"775, ave. du Mont-Royal E",Le Plateau-Mont-Royal,,(438) 381-8582,1.5,Du Terroir,Poutine,Bistro,Pub Food,,,,,
Akemi Sushi,"383, rue de l'Église",Verdun/Lasalle,,(438) 381-8882,1,Sushi,,,,,,,,
Don Taco,"1855, rue Ste-Catherine O.",Centre-ville,,(438) 382-1999,1,Mexicaine,Latino Américaine,,,,,,,
La Cabane Chez Jean,"1, circuit Gilles-Villeneuve",Le Sud Ouest,,(438) 382-3335,3,Cabane à sucre,,,,,,,,
F+F Pizza,"1489, rue Ste-Catherine E",Le Village/Centre Sud,,(438) 382-3688,1,Pizza,Salades,,,,,,,
Tori Tora Sushi,"3033, rue Masson",Vieux-Rosemont,Rosemont-Petite-Patrie,(438) 382-6868,1,Sushi,Japonaise,Asiatique,,,,,,
Copper Branch,"2183, rue Ste-Catherine O.",Centre-ville,,(438) 382-7600,1,Végétalienne,Déjeuner,Sandwichs,Burgers,Santé,,,,
TOV 4 Saisons,"5240, chemin Queen Mary",Côte-des-Neiges,Notre-Dame-de-Grâce (NDG),(438) 383-2233,1,Coréenne,Barbecue-BBQ,,,,,,,
Mange-Moi,"35, ave. du Mont-Royal E",Le Plateau-Mont-Royal,,(438) 383-3355,1.5,Burgers,Poutine,Américaine,Salades,,,,,
Le Nid Poule,"1361, ave. du Mont-Royal E",Le Plateau-Mont-Royal,,(438) 383-4419,1,Déjeuner,Du Terroir,,,,,,,
Pizza Navona,"908, rue Sherbrooke O.",Centre-ville,,(438) 383-4600,1,Pizza,Sandwichs,Réconfort,,,,,,
Pause et Vous,"143, ave. du Mont-Royal E",Le Plateau-Mont-Royal,,(438) 383-4700,1,Café,Déjeuner,Crêperie,Salades,,,,,
Le Warehouse,"1446, rue Crescent",Centre-ville,Rue Crescent,(438) 383-5077,1,Tapas,Pub Food,,,,,,,
Sushi Yakki,"3765, rue Masson E.",Rosemont-Petite-Patrie,,(438) 383-6688,1.5,Sushi,Tartare,Japonaise,Salades,Asiatique,,,,
Fusion d'Afrik,"4354, rue de Verdun",Verdun/Lasalle,,(438) 383-6888,1,Africaine,,,,,,,,
Schlouppe Bistrot Nakamichi,"2159, rue Mackay",Centre-ville,,(438) 383-7650,1,Asiatique,Japonaise,Ramen,,,,,,
Madame - Mme. Lee,"151, rue Ontario E",Quartier Latin,Quartier des Spectacles,(438) 383-7673,1,Tapas,Pub Food,,,,,,,
Thaizone,"405, rue Sherbrooke E",Quartier Latin,Quartier des Spectacles,(438) 383-9683,2,Thaïlandaise,Asiatique,,,,,,,
Le Festin du Capitaine (The Captain's Boil),"998, Boul. Saint-Laurent",Quartier Chinois,Boul. St-Laurent/Main,(438) 384-0818,3,Fruits de mer/Poissons,Américaine,,,,,,,
Brigade Pizzeria Napolitaine,"1428, rue Stanley",Centre-ville,,(438) 384-0948,1,Pizza,,,,,,,,
Barcola Bistro,"5607, ave. du parc",Mile-End,Le Plateau-Mont-Royal,(438) 384-1112,1.5,Italienne,Bistro,Café,,,,,,
La Rouladerie,"1205, ave. Bernar H2V 1V7",Mile-End,Outremont,(438) 384-3377,1,Café,Desserts et Sucreries,Crêperie,Sandwichs,Salades,,,,
Tartine et Chocolat,"4581, rue St-Denis",Le Plateau-Mont-Royal,Rue St-Denis,(438) 384-3800,1,Bistro,Café,Crêperie,Sandwichs,Salades,Belge,Desserts et Sucreries,,
Le Gladstone,"4114, rue Ste-Catherine O.",Westmount,,(438) 384-4114,3,Française,Bistro,Tartare,,,,,,
Pinocchio,"505, rue Gounod",Villeray-Saint-Michel,Parc-Extension,(438) 384-4500,1,Café,Sandwichs,Italienne,Deli,Desserts et Sucreries,,,,
Chez Dallaire,"2035, rue Wellington",Pointe St-Charles,,(438) 384-6656-,1,Pub Food,,,,,,,,
Le BallPark,"6660, rue Clark",Mile-Ex,Petite-Italie,(438) 384-6660,1.5,Café,Réconfort,,,,,,,
Mamie Clafoutis,"4093, rue Molson",Rosemont-Petite-Patrie,,(438) 384-7225,1,Café,Maison de thé,Pâtisserie,Sandwichs,Salades,,,,
Paname,"4976, rue Queen Mary",Côte-des-Neiges,Notre-Dame-de-Grâce (NDG),(438) 384-9200,1,Burgers,Sandwichs,Déjeuner,,,,,,
Zak-Hoss,"4976, chemin Queen Mary",Côte-des-Neiges,Notre-Dame-de-Grâce (NDG),(438) 384-9200,1,Méditerranéenne,Sandwichs,Casse-Croute,Burgers,Poutine,Salades,,,
Saint-Amable Resto Bar,"410, Place Jacques-Cartier",Vieux-Montréal,,(438) 385-1313,1.5,Française,Tartare,,,,,,,
Mamie Clafoutis,"1602, rue Fleury E",Ahuntsic-Cartierville,,(438) 385-1602,1,Café,Maison de thé,Pâtisserie,Sandwichs,Salades,,,,
Pizzeria Caldo,"4091, rue Molson",Rosemont-Petite-Patrie,,(438) 385-3555,1.5,Italienne,Pizza,Pâtes,Salades,Tartare,,,,
Buffalo West Wings,"4084A, rue Saint-Denis",Le Plateau-Mont-Royal,,(438) 385-4688,1,Barbecue-BBQ,Réconfort,Burgers,,,,,,
Cône Gyro Bar,"65, rue Jarry E",Villeray-Saint-Michel,Rosemont-Petite-Patrie,(438) 385-4745,,Grecque,Méditerranéenne,,,,,,,
Copper Branch,"600, boul. de Maisonneuve O",Centre-ville,,(438) 385-6262,1,Végétalienne,Déjeuner,Sandwichs,Burgers,Santé,,,,
Coq De L'Est 2015,"8803, rue Hochelaga",Tétreaultville-Mercier-Est,Montréal-Est,(438) 385-9455,1,Rôtisserie,Barbecue-BBQ,,,,,,,
Sandwicherie St-Henri,"3570A , rue Notre-Dame O",Le Sud Ouest,,(438) 385-9970,1,Sandwichs,,,,,,,,
La Luncheonette,"4271, rue Saint-Jacques O",Saint-Henri,,(438) 386-0565,2,Café,Salades,Desserts et Sucreries,,,,,,
Bombay Mahal Express,"3681, boul. St-Laurent",Le Plateau-Mont-Royal,Mile-End,(438) 386-3331,1.5,Indienne,Végétarienne,,,,,,,
Mademoiselle Bolduc,"851, rue Rachel E.",Le Plateau-Mont-Royal,,(438) 386-3610,2,Poutine,Burgers,Réconfort,,,,,,
Chambre à part,"3619, rue St-Denis",Le Plateau-Mont-Royal,Rue St-Denis,(438) 386-3619,2,Française,Internationale,,,,,,,
Cabane Hot-Dogs,"1743, rue St-Denis",Le Sud Ouest,Quartier des Spectacles,(438) 386-3647,1,Réconfort,,,,,,,,
Pizzeria Orsini,"7600, boul. Viau",Anjou-St-Léonard,,(438) 386-3700,1,Pizza,Italienne,Méditerranéenne,Pâtes,Salades,Poutine,,,
Le Trèfle,"3971, rue Ontario E",Hochelaga-Maisonneuve,,(438) 386-3737,1.5,Pub Food,Sandwichs,Salades,,,,,,
La Maison de Banh Mi,"1263, rue St-Catherine",Le Village/Centre Sud,,(438) 386-3979,1,Vietnamienne,Sandwichs,,,,,,,
Au Vieux Farfadet,"1345, rue Fleury E",Ahuntsic-Cartierville,,(438) 386-4414,1.5,Irlandaise,Pub Food,Fish & Chips,Burgers,Poutine,,,,
La Panthère Verte,"5265, chemin Queen Mary",Côte-des-Neiges,Notre-Dame-de-Grâce (NDG),(438) 386-4449,1,Sandwichs,Bio,Santé,Végétalienne,Végétarienne,Bar à jus et smoothies,,,
Birona Hummus Bar,"5417, boul. St-Laurent",Mile-End,Boul. St-Laurent/Main,(438) 386-6228,2,Méditerranéenne,Santé,Salades,,,,,,
Chez Tousignant,"6956, rue Drolet",Rosemont-Petite-Patrie,,(438) 386-6368,1,Casse-Croute,Burgers,Poutine,Déjeuner,Réconfort,,,,
Nero,"42, rue McGill",Vieux-Montréal,,(438) 386-6376,1.5,Tapas,,,,,,,,
Burrito Revolucion,"3905, rue Ontario E",Hochelaga-Maisonneuve,Montréal-Est,(438) 386-6696,1,Mexicaine,Latino Américaine,,,,,,,
La Dinette Montréal-Est,"7066A, rue Sherbrooke E",Hochelaga-Maisonneuve,Montréal-Est,(438) 386-7066,1,Déjeuner,Crêperie,Café,Grilled Cheese,Marché,,,,
Saint-Houblon,"1567, rue St-Denis",Quartier Latin,Rue St-Denis,(438) 386-7271,1.5,Pub Food,Burgers,Réconfort,Salades,Sandwichs,Déjeuner,,,
Sushi JinJin,"29, rue St-Viateur W.",Mile-End,,(438) 386-7447,2,Sushi,Japonaise,,,,,,,
Sushi Ryo,"4943, boul. Rosemont",Rosemont-Petite-Patrie,,(438) 386-7788,1,Sushi,Japonaise,,,,,,,
Saiko Izakaya,"1065, Côte du Beaver Hall",Centre-ville,Vieux-Montréal,(438) 386-7888,1.5,Japonaise,Asiatique,Sushi,,,,,,
East Pan Asiatique,"1250, boul. Robert-Bourrassa",Centre-ville,,(438) 386-9088,3.5,Chinoise,Japonaise,Thaïlandaise,Coréenne,Asiatique,Déjeuner,,,
O'Rhéma,"6422, boul. Saint-Laurent",Petite-Italie,,(438) 386-9490,2,Caraïbéenne,Créole,Fusion,,,,,,
Étoile Rouge,"6707, boul St-Laurent",Petite-Italie,Rosemont-Petite-Patrie,(438) 386-9788,2,Chinoise,,,,,,,,
Nozy,"3568, rue Notre-Dame O.",Saint-Henri,,(438) 386-9797,1,Japonaise,,,,,,,,
Shaughnessy Café,"1455, rue Lambert-Closse",Westmount,Centre-ville,(438) 386-9890,1,Café,,,,,,,,
LOV,"464, rue McGill",Vieux-Montréal,,(438) 387-1326,2,Végétalienne,Végétarienne,Santé,,,,,,
Copper Branch,"1251, Ave. Mont-Royal E.",Le Plateau-Mont-Royal,,(438) 387-1515,1,Végétalienne,Déjeuner,Sandwichs,Burgers,Santé,,,,
