nom,adresse,arrondissement,arrondissement2,telephone,prix,cuisine1,cuisine2,cuisine3,cuisine4,cuisine5,cuisine6,cuisine7,doublon?,doublon
Pocha de Marie,"5349, ave. Gatineau,",Côte-des-Neiges,,(438) 387-1700,2,Coréenne,Fusion,Barbecue-BBQ,,,,,,
La Panthère Verte,3515 ave. Lacombe,Côte-des-Neiges,,(438) 387-1848,1,Sandwichs,Bio,Santé,Végétarienne,Végétalienne,Bar à jus et smoothies,,,
Café Mucho Mucho,"1951, boul. Rosemont",Rosemont-Petite-Patrie,,(438) 387-3855,1,Café,Sandwichs,Salades,,,,,,
Chez Gargantua,"2009, ave. de la Salle",Hochelaga-Maisonneuve,Montréal-Est,(438) 387-3883,1,Grilled Cheese,Sandwichs,Salades,,,,,,
Atwater Cocktail Club,"512, ave. Atwater",Petite-Bourgogne,Le Sud Ouest,(438) 387-4252,2,Tapas,Française,,,,,,,
Foiegwa,"3001, rue Notre-Dame O",Saint-Henri,,(438) 387-4252,2,Française,Réconfort,Burgers,,,,,,
Système D,"417, rue St-Nicolas",Vieux-Montréal,,(438) 387-4447,1,Café,Sandwichs,Salades,,,,,,
L'Asie Resto-Bar,"1777, rue McGill College",Centre-ville,,(438) 387-4518,2,Asiatique,Fusion,Chinoise,Japonaise,Sushi,Fruits de mer/Poissons,Cajun,,
Elda,"5206, boul. St-Laurent",Mile-End,,(438) 387-6050,1.5,Bistro,,,,,,,,
Casa Cactus,"548, route Marie Victorin",Verchères,,(438) 399-7954,1,Mexicaine,,,,,,,,
Okaiyo Sushi,"9006, boul. Maurice-Duplessis",RDP-Pointe-aux-Trembles,Anjou-St-Léonard,(438) 738-1526,1.5,Sushi,,,,,,,,
Jarry Deuxième,"2590, rue Jarry E",Villeray-Saint-Michel,Rosemont-Petite-Patrie,(438) 764-8826,1,Bistro,Café,Bagels,Salades,Sandwichs,,,,
Le Boucan,"1886, rue Notre-Dame O",Petite-Bourgogne,Le Sud Ouest,(438) 793-2081,1.5,Fumoir-Smokehouse,Barbecue-BBQ,Burgers,Américaine,,,,,
Anne,"2525, rue Provost",Lachine,,(438) 793-6412,1,Caraïbéenne,Jamaïcaine,,,,,,,
La Confiserie CandyLabs,"2305, rue Guy",Centre-ville,,(438) 794-8211,1,Desserts et Sucreries,,,,,,,,
Eileen Ocean Wise Seafood Market & Oyster Bar,"6565, ave. Somerled",Notre-Dame-de-Grâce (NDG),,(438) 823-5440,1,Fruits de mer/Poissons,Tartare,Bio,,,,,,
Vegan Stew Bar par Grannysima,"12, rue Maguire",Le Plateau-Mont-Royal,,(438) 832-3366,1,Végétalienne,Pâtes,Bar à jus et smoothies,,,,,,
Di Lusso Traiteur - Caterer,Montreal,Montréal-Est,Montréal-Nord,(438) 875-2920,1.5,Italienne,,,,,,,,
La Brume Dans Mes Lunettes,"378, rue St-Zotique E",Petite-Italie,Rosemont-Petite-Patrie,(438) 880-4979,1,Café,Maison de thé,Bistro,,,,,,
B Montreal,"1207, rue Rachel E",Le Plateau-Mont-Royal,,(438) 881-8217,1,Café,Sandwichs,Marché,Crème glacée,Desserts et Sucreries,Bar à jus et smoothies,Santé,,
No 41,"1068, boul. St Laurent",Quartier Chinois,,(438) 933-5331,1,Vietnamienne,Asiatique,,,,,,,
M.R Azteca,"7349, rue St-Hubert",Villeray-Saint-Michel,,(438) 935-0805,1,Mexicaine,,,,,,,,
Alexandraplatz,"6731, de l'Esplanade",Mile-Ex,Petite-Italie,(438) 935-6731,1,Grillades,,,,,,,,
Falafel Freiha,"3858, boul. Pérron",Chomedey,,(438) 994-4294,1,Libanaise,Moyen Orientale,,,,,,,
Luckys Bar Et Grill,"598, boul. Saint-Jean-Baptiste",Mercier,,(450) 201-0570,1,Grillades,,,,,,,,
El Meson 2 Inc.,"77B, boul. St-Jean-Baptiste",Châteauguay,,(450) 201-1001,1.5,Mexicaine,Latino Américaine,,,,,,,
Woot Smokemeat & Pizza,"3239, Rte. Harwood",Vaudreuil-Dorion,,(450) 202-0709,1.5,Smoked Meat,Pizza,,,,,,,
Avocado Sushi Express,"180, boul. Ste-Anne",Sainte-Anne-des-Plaines,,(450) 205-0777,1,Sushi,,,,,,,,
Lady Kiki,"1001, rue Émile-Bouchard",Vaudreuil-Dorion,,(450) 218-7700,2,Caraïbéenne,Exotique,Trinidad,Jamaïcaine,Fusion,Canadienne,,,
Chez Sylvie B,"5720 335 Rte, Saint-Calixte",St-Calixte,,(450) 222-1422,2,Réconfort,Pizza,,,,,,,
Cabane à Sucre Arthur Raymond,"444, chemin Avila",Saint-Sauveur,,(450) 224-2569,2,Cabane à sucre,,,,,,,,
Le Mezze,"3029, boul. du Curé Labelle",Prévost,,(450) 224-4227,2,Libanaise,Méditerranéenne,Grillades,Moyen Orientale,,,,,
Le Raphaël,"3053, boul. Curé Labelle",Prévost,,(450) 224-4870,2.5,Française,Tartare,,,,,,,
Le Saint-Sau Pub Gourmand,"236, rue Principale",Saint-Sauveur,,(450) 227-0218,2.5,Pub Food,Bistro,Poutine,Fish & Chips,Salades,Burgers,Tartare,,
Casablanca,"179, rue Principale",Saint-Sauveur,,(450) 227-0245,2.5,Marocaine,Française,Italienne,Tartare,,,,,
Déjeuner Obodum,"220A, chemin du Lac-Millette",Saint-Sauveur,,(450) 227-0458,1,Déjeuner,Bistro,,,,,,,
Taverna Rustica,"121, rue Principale RR 6",Saint-Sauveur,,(450) 227-1188,2,Italienne,,,,,,,,
Samourai,"149, rue Principale RR 6",Saint-Sauveur,,(450) 227-1466,2.5,Japonaise,Grillades,,,,,,,
Le Gourmand De Szechuan,"166, rue Principale RR 6",Saint-Sauveur,,(450) 227-1688,1,Chinoise,Szechuannaise,,,,,,,
Le Passé Composé Saint-Sauveur,"90, ave. de la Gare",Saint-Sauveur,,(450) 227-1818,1.5,Bistro,Française,Déjeuner,Marché,,,,,
Le Sauvignon,"140, rue Principale",Saint-Sauveur,,(450) 227-2232,2,Française,Grillades,Tartare,,,,,,
Feliciano,"415, rue Principale",Saint-Sauveur,,(450) 227-2711,3,Méditerranéenne,,,,,,,,
Gusto Café,"695, chemin Avila RR 3",Saint-Sauveur,,(450) 227-2788,1,Café,Bistro,Sandwichs,,,,,,
Maestro,"339, rue Principale",Saint-Sauveur,,(450) 227-2999,2.5,Italienne,Californienne,,,,,,,
Sushi Taxi,"100, ave. de la Gare RR 6",Saint-Sauveur,,(450) 227-3346,2,Sushi,,,,,,,,
Restaurant du Village,"220, rue Principale",Saint-Sauveur,,(450) 227-3444,1,Poutine,Réconfort,,,,,,,
Sushi Shop,"220, chemin du lac millette",Saint-Sauveur,,(450) 227-4242,1,Sushi,Poke Bowl,,,,,,,
Orange & Pamplemousse,"120, rue Principale",Saint-Sauveur,,(450) 227-4330,2,Bistro,Exotique,Déjeuner,Salades,Sandwichs,Pâtes,,,
La Bruyère,"10, ave. Filion",Saint-Sauveur,,(450) 227-4447,1,Fruits de mer/Poissons,Fondue,,,,,,,
Crêperie A La Gourmandise Bretonne,"396, rue Principale",Saint-Sauveur,,(450) 227-5434,1,Crêperie,Déjeuner,,,,,,,
Le Vieux Four,"252, rue Principale",Saint-Sauveur,,(450) 227-6060,2,Italienne,Pizza,,,,,,,
Steak Frites St-Paul,"86B , ave. de la Gare",Saint-Sauveur,,(450) 227-6565,2.5,Française,Steakhouse,Bistro,Tartare,,,,,
Brochetterie le Chalet Grec,"138, rue Principale RR 6",Saint-Sauveur,,(450) 227-6612,1.5,Grecque,Fruits de mer/Poissons,,,,,,,
Aux Folies Glacées,"289, rue Principale",Saint-Sauveur,,(450) 227-7104,1,Crème glacée,Déjeuner,Sandwichs,,,,,,
Carol à Gogo,"16, ave. de la Gare",Saint-Sauveur,,(450) 227-8660,2,Bistro,Pub Food,Grillades,Fruits de mer/Poissons,,,,,
Bâton Rouge,"120, chemin du lac millette",Saint-Sauveur,,(450) 227-8878,2,Américaine,Grillades,Barbecue-BBQ,Salades,,,,,
La Tonkinoise,"310, rue Principale",Saint-Sauveur,,(450) 227-9980,1,Vietnamienne,Thaïlandaise,,,,,,,
Le Feu de Bois,"1126, boul de Sainte-Adèle",Sainte-Adèle,,(450) 229-0200,1,Pizza,,,,,,,,
Spago,"21, rue Morin",Sainte-Adèle,,(450) 229-0229,2.5,Italienne,Pâtes,Pizza,Grillades,Fruits de mer/Poissons,Tartare,,,
L'Entrecôte,"1440, rue Pierre-Péladeau",Sainte-Adèle,,(450) 229-1545,3.5,Steakhouse,Grillades,Fruits de mer/Poissons,Pâtes,,,,,
Chez Milot,"958, rue Valiquette",Sainte-Adèle,,(450) 229-2838,2.5,Française,Fruits de mer/Poissons,Grillades,Pâtes,Tartare,Moules,,,
Juliano,"3275, boul de Sainte-Adèle",Sainte-Adèle,,(450) 229-4320,1.5,Italienne,Pizza,,,,,,,
La Vanoise,"1261,  chemin du Chantecler",Sainte-Adèle,,(450) 229-4396,1,Française,Tartare,,,,,,,
Adèle Bistro,"1241, chemin du Chanteclerc",Sainte-Adèle,,(450) 229-4894,2.5,Canadienne,,,,,,,,
John Le Grec (II) Inc,"980, boul. De Sainte-Adele",Sainte-Adèle,,(450) 229-4991,1,Grecque,Pizza,Déjeuner,,,,,,
Grilladerie Aspria,"430, chemin Pierre-Péladeau",Sainte-Adèle,,(450) 229-6939,2,Grecque,Méditerranéenne,Marché,,,,,,
St-Adèle Sushi,"555, boul. De Sainte-Adele",Sainte-Adèle,,(450) 229-8388,1.5,Sushi,,,,,,,,
Nickels Deli & Bar,"480, boul. Sainte-Adèle",Sainte-Adèle,,(450) 229-9553,2,Américaine,Grillades,Deli,Déjeuner,Smoked Meat,,,,
Enoteca Mozza Pizzeria Moderna,"505, Promenade du Centropolis",Centropolis,Chomedey,(450) 231-0307,2,Italienne,Pizza,,,,,,,
Le Tire-Bouchon,"2930, ave. Pierre-Péladeau",Centropolis,Chomedey,(450) 231-1058,2,Française,Bistro,Tartare,,,,,,
Ottavio,"1459, boul. St-Martin O",Chomedey,Laval-des-Rapides,(450) 231-2784,1.5,Pâtes,Pizza,Salades,Moules,,,,,
Maison du Jazz - Laval (House of Jazz),"1639, boul. de L'Avenir",Chomedey,Laval-des-Rapides,(450) 231-2943,2.5,Bistro,Du Terroir,Contemporaine/Moderne,Gibier Sauvage,Française,Tartare,,,
La Flamberie Delicatessen,"2015, boul des Laurentides",Vimont,Auteuil,(450) 234-0808,1.5,Déjeuner,Deli,Smoked Meat,Grillades,Pizza,Pâtes,Sandwichs,,
Le Rio,"352, rue Principale",Saint-Sauveur,,(450) 240-0864,1.5,Grillades,Steakhouse,,,,,,,
Café Inn,"264, chemin de Knowlton",Brome-Missisquoi,,(450) 243-0069,1,Café,Déjeuner,Sandwichs,,,,,,
Star Café,"109A, chemin Lakeside",Brome-Missisquoi,,(450) 243-5222,1,Café,Déjeuner,Sandwichs,Bistro,,,,,
Mia Pasta,"1434, boul. Casavant E",Saint-Hyacinthe,,(450) 250-2700,1,Pâtes,Pizza,Salades,Asiatique,,,,,
Ben & Florentine,"1340, boul. Casavant E",Saint-Hyacinthe,,(450) 250-6066,1,Déjeuner,Crêperie,Sandwichs,,,,,,
L'Escabèche,"1595, rue Saint-Antoine",Saint-Hyacinthe,,(450) 250-8484,3.5,Tapas,,,,,,,,
La Poule Fumée,"305, boul. Curé-Labelle",Sainte-Thérèse,,(450) 254-0254,1,Portugaise,Grillades,,,,,,,
Cabane à sucre Au Pied de Cochon,"11382, Rang de la Fresnière",Mirabel,,(450) 258-1732,3.5,Cabane à sucre,,,,,,,,
Au Milieu des Champs,"7000, rang Saint-Vincent",Mirabel,,(450) 258-2635,2.5,Cabane à sucre,,,,,,,,
Cabane à Sucre Chez Gagnon,"3525, rang St-Hyacinthe",Mirabel,,(450) 258-3043,2,Cabane à sucre,,,,,,,,
Chalet du Ruisseau,"12570, rang Lafresnière",Mirabel,,(450) 258-3176,1.5,Cabane à sucre,,,,,,,,
Sucrerie à l'Eau d'Érable,"7870, rang St-Vincent",Mirabel,,(450) 258-3633,1.5,Cabane à sucre,,,,,,,,
Cabane à Sucre Famille Éthier,"7940, rang St-Vincent",Mirabel,,(450) 258-3807,2,Cabane à sucre,,,,,,,,
Sucrerie Mont-Bleu,"7792, rang de la Fresnière",Mirabel,,(450) 258-4405,2,Cabane à sucre,,,,,,,,
L'Historique,"3974, rue Saint-Jean-Baptiste",Mirabel,,(450) 258-4559,1,Internationale,,,,,,,,
Nestor Picore Gourmandises,"431, chemin Ozias Leduc",Mont-Saint-Hilaire,Otterburn Park,(450) 281-1977,1,Bistro,Crème glacée,Desserts et Sucreries,,,,,,
Et Caetera,"80, rue St-Mathieu",Beloeil,,(450) 281-2211,2.5,Française,Méditerranéenne,Tartare,Moules,,,,,
Chez César,"3477, montée St-Hubert",Saint-Hubert,Longueuil,(450) 286-1704,1,Péruvienne,Fruits de mer/Poissons,Barbecue-BBQ,Poutine,Grillades,,,,
Fisshu,"400, route 132, local 110",Saint-Constant,Delson,(450) 290-1208,2.5,Japonaise,Sushi,Fusion,Asiatique,Végétarienne,,,,
Érablière Hilltop,"4329, chemin Symington",Bromont,Farnham,(450) 295-2270,2,Cabane à sucre,,,,,,,,
Haut Bois Normand,"426, chemin George Bonnallie",Eastman,,(450) 297-2659,2,Cabane à sucre,,,,,,,,
Le Côte - Cuisine & Bar - Eastman,"4, chemin George Bonnallie",Eastman,,(450) 297-3737,2.5,Steakhouse,Fruits de mer/Poissons,Grillades,Marché,Salades,,,,
Okane Sushi Bar,"8050, boul. Taschereau",Brossard,,(450) 300-0968,2,Japonaise,Sushi,,,,,,,
Kamikaze Comptoir A Sushi,"1058, rue St-Isidore",Saint-Lin-Laurentides,,(450) 302-2220,1,Sushi,,,,,,,,
Les Délices de Rosa GRILL,"6262, rue Principale",St-Calixte,,(450) 303-3000,1.5,Pizza,Pâtes,Grillades,Italienne,Américaine,Barbecue-BBQ,Fruits de mer/Poissons,,
Teckel,"949, boul. Arthur-Sauvé",Laval-Ouest,,(450) 314-3180,1,Réconfort,Burgers,,,,,,,
Le Poutine Bar,"4750, boul. Ste-Rose",Fabreville,Laval-Ouest,(450) 314-4343,1,Poutine,Sandwichs,Burgers,Réconfort,,,,,
Chez NatGio's & Charlie,"654, Chemin Bord de l'Eau",Sainte-Dorothée,Laval-Ouest,(450) 314-5060,2,Italienne,,,,,,,,
Zesto Express,"17, boul. Samson",Sainte-Dorothée,Chomedey,(450) 314-5144,1,Pizza,Sandwichs,Pâtes,Burgers,,,,,
Mimosa,"1178, boul. Ste-Foy",Longueuil,Vieux Longueuil,(450) 321-1404,1,Vietnamienne,,,,,,,,
Grand Tandoori,"3736, boul. Grande Allée",Saint-Hubert,Longueuil,(450) 321-2352,1,Indienne,Halal,,,,,,,
